Nominal Family,Genus,species,Gender,Nemaplex Code,cp value,feeding,feeding code,Habit,Functional guild,Basal Wtg,Enrich Wtg,Structure Wtg,Length mm,Length micm,a,Width micm,Weight micg,qCPr (µg/day),qCRs (µg/day),qMFP (µg/day),,,Family,Familymm,Gender,cp value,feeding,feeding code,nFamily,FamavgMass,StderrMass,FamavgqCPr,StderrCPr,FamavgqCRs,StderrCRs,FamavgqMFP,StderrMFP,,Lmax,Lmin,Wmax,Wmin,Wgtmax,Wgtmin,,,max lngth,min lngth,max wdth,min wdth,max wgt,min wgt,,SSQWeight(µg),Stderr,SSQC-Production,Stderr,SSQC-Respiration,Stderr,SSQMet. Ftprnt,Stderr,,,,,,
Alaimidae,Alaimus,acutus,Female,G631,4,3,b,,b4,,,3.2,0.750,750.000,38.000,19.737,0.183,0.000,0.003,0.004,,,Alaimidae,Alaimidae,Female,4,3,b,42,0.53419861,0.126015792,0.001112914,0.000262533,0.006553527,0.001063902,0.007666441,0.001324714,,4,0.695,47.57281553,9.08496732,4,0.035851849,,,4,0.695,47.57281553,9.08496732,4,0.035851849,,0.033342121,0.126015792,1.44714E-07,0.000262533,1.10347E-05,0.001063902,1.37067E-05,0.001324714,,,,,,
Alaimidae,Alaimus,arcuatus,Female,G631,4,3,b,,b4,,,3.2,0.780,780.000,37.000,21.081,0.217,0.000,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.695,47.57281553,9.08496732,4,0.035851849,,0.046937586,,2.03722E-07,,1.42612E-05,,1.78739E-05,,,,,,,
Alaimidae,Alaimus,elongatus,Female,G631,4,3,b,,b4,,,3.2,4.000,4000.000,100.000,40.000,4.000,0.008,0.034,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.695,47.57281553,9.08496732,4,0.035851849,,16,,6.94444E-05,,0.001131371,,0.001761413,,,,,,,
Alaimidae,Alaimus,hungaricus,Female,G631,4,3,b,,b4,,,3.2,0.905,905.000,54.000,16.759,0.159,0.000,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.025239251,,1.09545E-07,,8.95514E-06,,1.10456E-05,,,,,,,
Alaimidae,Alaimus,meyli,Female,G631,4,3,b,,b4,,,3.2,0.900,900.000,57.000,15.789,0.140,0.000,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.019665983,,8.53558E-08,,7.4268E-06,,9.10454E-06,,,,,,,
Alaimidae,Alaimus,meyli,Female,G631,4,3,b,,b4,,,3.2,0.900,900.000,57.000,15.789,0.140,0.000,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.019665983,,8.53558E-08,,7.4268E-06,,9.10454E-06,,,,,,,
Alaimidae,Alaimus,mucronatus,Female,G631,4,3,b,,b4,,,3.2,0.705,705.000,40.000,17.625,0.137,0.000,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.018735046,,8.13153E-08,,7.16153E-06,,8.76908E-06,,,,,,,
Alaimidae,Alaimus,obtusus,Female,G631,4,3,b,,b4,,,3.2,1.190,1190.000,45.500,26.154,0.509,0.001,0.007,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.258819037,,1.12335E-06,,5.13171E-05,,6.76256E-05,,,,,,,
Alaimidae,Alaimus,parvus,Female,G631,4,3,b,,b4,,,3.2,0.700,700.000,40.000,17.500,0.134,0.000,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.017951813,,7.79159E-08,,6.93579E-06,,8.48396E-06,,,,,,,
Alaimidae,Alaimus,primitivus,Female,G631,4,3,b,,b4,,,3.2,1.020,1020.000,61.500,16.585,0.175,0.000,0.003,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.030751096,,1.33468E-07,,1.03851E-05,,1.28732E-05,,,,,,,
Alaimidae,Alaimus,primitivus,Female,G631,4,3,b,,b4,,,3.2,1.200,1200.000,53.000,22.642,0.384,0.001,0.006,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.147823688,,6.41596E-07,,3.3715E-05,,4.36585E-05,,,,,,,
Alaimidae,Alaimus,primitivus,Female,G631,4,3,b,,b4,,,3.2,1.200,1200.000,50.000,24.000,0.432,0.001,0.006,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.186624,,0.00000081,,4.01551E-05,,5.23713E-05,,,,,,,
Alaimidae,Alaimus,proximus,Female,G631,4,3,b,,b4,,,3.2,1.250,1250.000,52.500,23.810,0.443,0.001,0.006,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.196147555,,8.51335E-07,,4.16823E-05,,5.44476E-05,,,,,,,
Alaimidae,Alaimus,proximus,Female,G631,4,3,b,,b4,,,3.2,1.300,1300.000,50.000,26.000,0.549,0.001,0.008,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.301675563,,1.30936E-06,,5.75665E-05,,7.62397E-05,,,,,,,
Alaimidae,Alaimus,robustus,Female,G631,4,3,b,,b4,,,3.2,0.795,795.000,30.500,26.066,0.338,0.001,0.005,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.113962889,,4.94631E-07,,2.77388E-05,,3.56417E-05,,,,,,,
Alaimidae,Alaimus,simplex,Female,G631,4,3,b,,b4,,,3.2,2.000,2000.000,91.000,21.978,0.604,0.001,0.008,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.364564553,,1.58231E-06,,6.63507E-05,,8.84257E-05,,,,,,,
Alaimidae,Amphidelus,bryophilus,Female,G632,4,3,b,,b4,,,3.2,1.580,1580.000,62.000,25.484,0.641,0.001,0.009,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,0.411278303,,1.78506E-06,,7.26301E-05,,9.71879E-05,,,,,,,
Alaimidae,Amphidelus,coluber,Female,G632,4,3,b,,b4,,,3.2,2.450,2450.000,51.500,47.573,3.465,0.007,0.030,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.695,47.57281553,9.08496732,3.465483316,0.035851849,,12.00957461,,5.21249E-05,,0.000912348,,0.00140062,,,,,,,
Alaimidae,Amphidelus,coronatus,Female,G632,4,3,b,,b4,,,3.2,1.430,1430.000,68.000,21.029,0.395,0.001,0.006,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,40,9.08496732,2,0.035851849,,0.15622143,,6.78044E-07,,3.51415E-05,,4.55822E-05,,,,,,,
Alaimidae,Amphidelus,dudichi,Female,G632,4,3,b,,b4,,,3.2,1.745,1745.000,50.000,34.900,1.328,0.003,0.015,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,40,9.08496732,2,0.035851849,,1.764625721,,7.65897E-06,,0.000216523,,0.000305628,,,,,,,
Alaimidae,Amphidelus,elegans,Female,G632,4,3,b,,b4,,,3.2,1.660,1660.000,90.000,18.444,0.353,0.001,0.005,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,40,9.08496732,2,0.035851849,,0.124577188,,5.407E-07,,2.96547E-05,,3.8204E-05,,,,,,,
Alaimidae,Amphidelus,elegans,Female,G632,4,3,b,,b4,,,3.2,1.850,1850.000,80.000,23.125,0.618,0.001,0.008,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,40,9.08496732,2,0.035851849,,0.382323028,,1.65939E-06,,6.87603E-05,,9.17832E-05,,,,,,,
Alaimidae,Amphidelus,lagrecai,Female,G632,4,3,b,,b4,,,3.2,1.260,1260.000,51.500,24.466,0.471,0.001,0.007,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,40,9.08496732,2,0.035851849,,0.222205288,,9.64433E-07,,4.577E-05,,6.00223E-05,,,,,,,
Alaimidae,Amphidelus,lissus,Female,G632,4,3,b,,b4,,,3.2,1.700,1700.000,53.000,32.075,1.093,0.002,0.013,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,40,9.08496732,2,0.035851849,,1.194950966,,5.18642E-06,,0.000161632,,0.000224725,,,,,,,
Alaimidae,Amphidelus,lissus,Female,G632,4,3,b,,b4,,,3.2,2.000,2000.000,50.000,40.000,2.000,0.004,0.020,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,40,9.08496732,2,0.035851849,,4,,1.73611E-05,,0.0004,,0.000584028,,,,,,,
Alaimidae,Caviputa,macer,Female,G634,4,3,b,,b4,,,3.2,1.000,1000.000,80.000,12.500,0.098,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,24.71698113,9.08496732,0.547794754,0.035851849,,0.009536743,,4.13921E-08,,4.31584E-06,,5.20255E-06,,,,,,,
Alaimidae,Paramphidelus,dolichurus,Female,G633,4,3,b,,b4,,,3.2,0.785,785.000,68.500,11.460,0.064,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,24.71698113,9.08496732,0.547794754,0.035851849,,0.004151602,,1.80191E-08,,2.31301E-06,,2.73933E-06,,,,,,,
Alaimidae,Paramphidelus,dolichurus,Female,G633,4,3,b,,b4,,,3.2,0.900,900.000,70.000,12.857,0.093,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,24.71698113,9.08496732,0.547794754,0.035851849,,0.008646153,,3.75267E-08,,4.00989E-06,,4.82324E-06,,,,,,,
Alaimidae,Paramphidelus,exilis,Female,G633,4,3,b,,b4,,,3.2,2.250,2250.000,114.000,19.737,0.548,0.001,0.008,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,24.71698113,9.08496732,0.547794754,0.035851849,,0.300079093,,1.30243E-06,,5.73379E-05,,7.59237E-05,,,,,,,
Alaimidae,Paramphidelus,exilis,Female,G633,4,3,b,,b4,,,3.2,2.250,2250.000,115.000,19.565,0.538,0.001,0.007,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,0.695,24.71698113,9.08496732,0.53830931,0.035851849,,0.289776913,,1.25771E-06,,5.58551E-05,,7.38758E-05,,,,,,,
Alaimidae,Paramphidelus,hortensis,Female,G633,4,3,b,,b4,,,3.2,0.750,750.000,59.000,12.712,0.076,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,0.695,24.71698113,9.08496732,0.500198247,0.035851849,,0.005737459,,2.49022E-08,,2.94818E-06,,3.515E-06,,,,,,,
Alaimidae,Paramphidelus,hortensis,Female,G633,4,3,b,,b4,,,3.2,0.750,750.000,61.000,12.295,0.071,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,0.695,24.71698113,9.08496732,0.500198247,0.035851849,,0.005021209,,2.17934E-08,,2.6676E-06,,3.17163E-06,,,,,,,
Alaimidae,Paramphidelus,lemani,Female,G633,4,3,b,,b4,,,3.2,1.310,1310.000,53.000,24.717,0.500,0.001,0.007,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,0.695,24.71698113,9.08496732,0.500198247,0.035851849,,0.250198286,,1.08593E-06,,5.00297E-05,,6.58573E-05,,,,,,,
Alaimidae,Paramphidelus,macer,Female,G633,4,3,b,,b4,,,3.2,0.980,980.000,80.000,12.250,0.092,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.695,23.07692308,9.08496732,0.399408284,0.035851849,,0.008448051,,3.66669E-08,,3.94078E-06,,4.7377E-06,,,,,,,
Alaimidae,Paramphidelus,palustris,Female,G633,4,3,b,,b4,,,3.2,1.200,1200.000,52.000,23.077,0.399,0.001,0.006,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.695,23.07692308,9.08496732,0.399408284,0.035851849,,0.159526977,,6.92391E-07,,3.56977E-05,,4.63333E-05,,,,,,,
Alaimidae,Paramphidelus,paramonovi,Female,G633,4,3,b,,b4,,,3.2,1.170,1170.000,107.000,10.935,0.087,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.695,23.07692308,9.08496732,0.399408284,0.035851849,,0.007644342,,3.31786E-08,,3.65612E-06,,4.38587E-06,,,,,,,
Alaimidae,Paramphidelus,propinquus,Female,G633,4,3,b,,b4,,,3.2,1.280,1280.000,87.000,14.713,0.173,0.000,0.003,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.695,23.07692308,9.08496732,0.399408284,0.035851849,,0.029987678,,1.30155E-07,,1.01911E-05,,1.26247E-05,,,,,,,
Alaimidae,Paramphidelus,pseudobulbosus,Female,G633,4,3,b,,b4,,,3.2,1.000,1000.000,90.000,11.111,0.077,0.000,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.695,23.07692308,9.08496732,0.399408284,0.035851849,,0.005953742,,2.58409E-08,,3.03115E-06,,3.61673E-06,,,,,,,
Alaimidae,Paramphidelus,pusillus,Female,G633,4,3,b,,b4,,,3.2,0.695,695.000,76.500,9.085,0.036,0.000,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.695,23.07692308,9.08496732,0.399408284,0.035851849,,0.001285355,,5.5788E-09,,9.60025E-07,,1.11197E-06,,,,,,,
Alaimidae,Paramphidelus,uniformis,Female,G633,4,3,b,,b4,,,3.2,1.200,1200.000,89.000,13.483,0.136,0.000,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,23.07692308,13.48314607,0.399408284,0.136346421,,0.018590346,,8.06873E-08,,7.12001E-06,,8.71661E-06,,,,,,,
Alaimidae,Paramphidelus,uniformis,Female,G633,4,3,b,,b4,,,3.2,1.200,1200.000,88.500,13.559,0.138,0.000,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,23.07692308,13.55932203,0.399408284,0.137891411,,0.019014041,,8.25262E-08,,7.24137E-06,,8.86999E-06,,,,,,,
Alaimidae,Scleramphidelus,lemani,Female,,4,3,b,,b4,,,3.2,1.200,1200.000,52.000,23.077,0.399,0.001,0.006,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,23.07692308,23.07692308,0.399408284,0.399408284,,0.159526977,,6.92391E-07,,3.56977E-05,,4.63333E-05,,,,,,,
Alloionematidae,Rhabditophanes,cobbi,Female,G231,1,3,b,,b1,,3.2,,0.650,650.000,15.500,41.935,0.714,0.006,0.009,0.015,,,Alloionematidae,Alloionematidae,Female,1,3,b,3,1.146171478,0.216759667,0.009551429,0.001806331,0.013075415,0.001923949,0.022626844,0.003730261,,0.85,0.65,51.875,41.93548387,1.395964355,0.714425078,,,0.85,0.65,51.875,41.93548387,1.395964355,0.714425078,,0.510403192,0.216759667,3.54447E-05,0.001806331,8.53985E-05,0.001923949,0.000230878,0.003730261,,,,,,
Alloionematidae,Rhabditophanes,schneideri,Female,G231,1,3,b,,b1,,3.2,,0.830,830.000,16.000,51.875,1.396,0.012,0.015,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.83,51.875,50,1.395964355,1.328125,,1.948716482,,0.000135328,,0.000233253,,0.000723914,,,,,,,
Alloionematidae,Rhabditophanes,schneideri,Female,G231,1,3,b,,b1,,3.2,,0.850,850.000,17.000,50.000,1.328,0.011,0.015,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.85,50,50,1.328125,1.328125,,1.763916016,,0.000122494,,0.000216458,,0.00066462,,,,,,,
Anatonchidae,Anatonchus,hortensis,Female,G661,4,5,p,,p4,,,3.2,1.800,1800.000,32.000,56.250,3.560,0.007,0.031,0.038,,,Anatonchidae,Anatonchidae,Female,4,5,p,16,6.748626039,1.103126436,0.014059638,0.00229818,0.047945033,0.006000719,0.062004671,0.008291806,,3.1,1.25,95.38461538,36.76470588,17.62781065,1.055971561,,,3.1,1.25,95.38461538,36.76470588,17.62781065,1.055971561,,12.67054081,1.103126436,5.49937E-05,0.00229818,0.000949755,0.006000719,0.001461828,0.008291806,,,,,,
Anatonchidae,Anatonchus,kashmirensis,Female,G661,4,5,p,,p4,,,3.2,1.800,1800.000,30.000,60.000,4.050,0.008,0.034,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.25,95.38461538,36.76470588,17.62781065,1.055971561,,16.4025,,7.11914E-05,,0.00115265,,0.00179676,,,,,,,
Anatonchidae,Anatonchus,sympathicus,Female,G661,4,5,p,,p4,,,3.2,2.600,2600.000,34.000,76.471,9.503,0.020,0.064,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.25,95.38461538,36.76470588,17.62781065,1.055971561,,90.29931469,,0.000391924,,0.004142651,,0.00708299,,,,,,,
Anatonchidae,Anatonchus,tridentatus,Female,G661,4,5,p,,p4,,,3.2,2.650,2650.000,31.000,85.484,12.103,0.025,0.077,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.25,95.38461538,36.76470588,17.62781065,1.055971561,,146.4834308,,0.000635779,,0.005954652,,0.010481878,,,,,,,
Anatonchidae,Anatonchus,tridentatus,Female,G661,4,5,p,,p4,,,3.2,2.650,2650.000,31.000,85.484,12.103,0.025,0.077,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.25,95.38461538,36.76470588,17.62781065,1.055971561,,146.4834308,,0.000635779,,0.005954652,,0.010481878,,,,,,,
Anatonchidae,Anatonchus,tridentatus,Female,G661,4,5,p,,p4,,,3.2,2.700,2700.000,43.000,62.791,6.653,0.014,0.049,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.25,95.38461538,36.76470588,17.62781065,1.055971561,,44.26584891,,0.000192126,,0.002426982,,0.003984812,,,,,,,
Anatonchidae,Anatonchus,tridentatus,Female,G661,4,5,p,,p4,,,3.2,3.100,3100.000,32.500,95.385,17.628,0.037,0.102,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,1.25,95.38461538,36.76470588,17.62781065,1.055971561,,310.7397083,,0.001348697,,0.010466767,,0.019329848,,,,,,,
Anatonchidae,Miconchus,aquaticus,Female,G662,4,5,p,,p4,,,3.2,2.170,2170.000,27.000,80.370,8.761,0.018,0.061,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,2.315,1.25,80.37037037,36.76470588,8.760556413,1.055971561,,76.74734866,,0.000333105,,0.003667014,,0.006210548,,,,,,,
Anatonchidae,Miconchus,citrikhan,Female,G662,4,5,p,,p4,,,3.2,1.900,1900.000,26.000,73.077,6.342,0.013,0.048,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,2.315,1.25,73.07692308,36.76470588,6.416383133,1.055971561,,40.21501625,,0.000174544,,0.002258428,,0.003688672,,,,,,,
Anatonchidae,Miconchus,dalhousiensis,Female,G662,4,5,p,,p4,,,3.2,2.075,2075.000,29.500,70.339,6.416,0.013,0.048,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,2.315,1.25,70.33898305,36.76470588,6.416383133,1.055971561,,41.16997252,,0.000178689,,0.002298531,,0.003758973,,,,,,,
Anatonchidae,Miconchus,digiturus,Female,G662,4,5,p,,p4,,,3.2,1.250,1250.000,34.000,36.765,1.056,0.002,0.012,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,2.315,1.25,66.14285714,36.76470588,6.329900957,1.055971561,,1.115075939,,4.83974E-06,,0.000153459,,0.000212804,,,,,,,
Anatonchidae,Miconchus,digiturus,Female,G662,4,5,p,,p4,,,3.2,1.400,1400.000,29.000,48.276,2.039,0.004,0.020,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,2.315,1.4,66.14285714,48.27586207,6.329900957,2.039239001,,4.158495704,,1.8049E-05,,0.000411829,,0.000602309,,,,,,,
Anatonchidae,Miconchus,digiturus,Female,G662,4,5,p,,p4,,,3.2,1.400,1400.000,29.000,48.276,2.039,0.004,0.020,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,2.315,1.4,66.14285714,48.27586207,6.329900957,2.039239001,,4.158495704,,1.8049E-05,,0.000411829,,0.000602309,,,,,,,
Anatonchidae,Miconchus,parathornei,Female,G662,4,5,p,,p4,,,3.2,2.315,2315.000,35.000,66.143,6.330,0.013,0.047,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,2.315,1.8,66.14285714,58.06451613,6.329900957,3.792924037,,40.06764612,,0.000173905,,0.002252218,,0.003677795,,,,,,,
